"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxon","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6","beta","direct","Sex","group","Study"
"1","074478577353df0840cde9827351d2e9","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"074478577353df0840cde9827351d2e9",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"2","0ddcce08d539797d98bc25c7c02ae7f8","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","0ddcce08d539797d98bc25c7c02ae7f8",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"3","109d8be93136956ca2520f3ee1ed4fa9","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA,"109d8be93136956ca2520f3ee1ed4fa9",2,FALSE,FALSE,FALSE,FALSE,-3.88294802985078,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"4","154f6f79c8c0e3b5a04e5da9d5d1f922","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","154f6f79c8c0e3b5a04e5da9d5d1f922",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"5","1b158b8b2922d4fcad5d9cea607cbb7d","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,"1b158b8b2922d4fcad5d9cea607cbb7d",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"6","23d5a6e0455c0f02222837ca67a71aeb","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","uncultured_bacterium","23d5a6e0455c0f02222837ca67a71aeb",3,FALSE,FALSE,FALSE,FALSE,-5.02809183216358,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"7","253789f4989c670f6080a835135e77e3","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium]_coprostanoligenes_group","[Eubacterium]_coprostanoligenes_group","gut_metagenome","253789f4989c670f6080a835135e77e3",3,FALSE,FALSE,FALSE,FALSE,-5.21530179081298,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"8","26c9f4f844da09bdd5c1603be193969c","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,"26c9f4f844da09bdd5c1603be193969c",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"9","27e90ee0bd824dd28dab89441f842fa6","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","uncultured_bacterium","27e90ee0bd824dd28dab89441f842fa6",3,FALSE,FALSE,FALSE,FALSE,-5.03722597701716,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"10","28d09c230390bade39f1ef87782f563f","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","Dorea_sp.","28d09c230390bade39f1ef87782f563f",3,FALSE,FALSE,FALSE,FALSE,-5.26693875163625,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"11","2bbdf11f840b0479edd8376d11ec786c","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575","uncultured_bacterium","2bbdf11f840b0479edd8376d11ec786c",3,FALSE,FALSE,FALSE,FALSE,-4.80248488960847,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"12","2cbcefcb12eddf8df1be532a2b4b186d","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured","Azospirillum_sp.","2cbcefcb12eddf8df1be532a2b4b186d",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"13","34f937457eca33a3b558bf78f6b4f3e6","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","34f937457eca33a3b558bf78f6b4f3e6",4,FALSE,FALSE,FALSE,FALSE,-5.39096295356961,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"14","368c8aaf10922a92b5d77aa9eb36a7c0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"368c8aaf10922a92b5d77aa9eb36a7c0",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"15","374ba4929881c3823a4debec2407722b","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"374ba4929881c3823a4debec2407722b",3,FALSE,FALSE,FALSE,FALSE,-5.13756180747995,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"16","392aa3c45e128c7432f91b3de84541f6","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA,"392aa3c45e128c7432f91b3de84541f6",3,FALSE,FALSE,FALSE,FALSE,-5.15775459328191,"Not Significant","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
